quote;date;month;year
Dans la version de 2012 de L’Aube rouge, la postproduction a remplacé par des Nord-Coréens les envahisseurs venus de Chine, afin de pouvoir distribuer le film dans ce pays.;2017-03-05;3;2017
Privée de stylo, la poétesse chinoise Lin Zhao (photo) a tracé des milliers de caractères avec son sang et ses épingles à cheveux.;2017-03-05;3;2017
La course de chars du Ben-Hur de 1907 a été filmée sur une plage du New Jersey avec les pompiers locaux dans le rôle des auriges (photo) et les chevaux des pompes à incendie pour tirer les chars.;2017-03-05;3;2017
Thomas Jefferson a lui-même découpé et collé des fragments des quatre évangiles pour composer sa propre version de la Bible.;2017-03-05;3;2017
Les Amérindiens ont maîtrisé le crawl (illustration) avant les Britanniques.;2017-03-06;3;2017
Protégé en permanence par la police, le Néerlandais Geert Wilders, dirigeant du Parti pour la liberté, est parfois logé dans des bunkers militaires lorsque le niveau de menace qui pèse sur lui s’élève.;2017-03-06;3;2017
Pour la plupart des philologues classiques d’aujourd’hui, le nom de Pénélope vient de celui d’un oiseau sauvage, repris par Linné pour désigner le Canard siffleur, Anas penelope (son).;2017-03-06;3;2017
L’État russe a écopé en juillet 2014 de l’amende la plus lourde jamais infligée par un tribunal arbitral (50 milliards de dollars).;2017-03-06;3;2017
Néso est parfois plus éloigné de sa planète que Mercure de son étoile, même à son aphélie.;2017-03-07;3;2017
Selon une disposition légale britannique jamais abrogée, bien qu’inapplicable aujourd’hui, la propagande républicaine (drapeau) imprimée est passible de l’emprisonnement à perpétuité.;2017-03-07;3;2017
Selon une évaluation de septembre 2015, la princesse Charlotte de Cambridge, âgée de quatre mois, avait déjà apporté près de trois milliards de livres sterling aux caisses de son pays, soit plus de 4,36 milliards d’euros.;2017-03-07;3;2017
Rentrant d’exil en 1870, Victor Hugo (buste) comptait assumer la dictature, puis quitter la France de nouveau et définitivement.;2017-03-07;3;2017
En France, le plus important mouvement de femmes de la première moitié du XXe siècle est la Ligue patriotique des Françaises, ennemie déclarée du jacobinisme, du socialisme et de la « juiverie ».;2017-03-08;3;2017
L’impopularité du chef de l’État et un hiver particulièrement froid ont favorisé le déclenchement de la révolution de Février (photo) dans la Russie de 1917.;2017-03-08;3;2017
Lance Henriksen et Bill Paxton partagent la particularité d’avoir été tués à l’écran par un Alien, un Terminator et un Predator.;2017-03-08;3;2017
Mouvement féministe antireligieux, le groupe Femen (logo) considère la laïcité « comme une façon d’accepter l’inacceptable ».;2017-03-08;3;2017
D’après un soi-disant empereur de la Chine, le cuisinier André Noël (portrait) fut « un Newton dans l’art de la marmite, un vrai César en fait de lèchefrite. »;2017-03-09;3;2017
Léon Tolstoï et Jacques Ellul étaient des anarchistes chrétiens.;2017-03-09;3;2017
Le fruit défendu décrit dans la Bible n’a pas de raison spéciale d’être une pomme (tableau).;2017-03-09;3;2017
Lors de l’élection municipale de Noyon en 2014, le maire sortant PS Patrick Deguise a affronté son frère, le candidat UMP Gérard Deguise.;2017-03-09;3;2017
